ImageName,LocalEnergy_0_1,LocalEnergy_0_2,LocalEnergy_0_3,LocalEnergy_0.7853981633974483_1,LocalEnergy_0.7853981633974483_2,LocalEnergy_0.7853981633974483_3,LocalEnergy_1.5707963267948966_1,LocalEnergy_1.5707963267948966_2,LocalEnergy_1.5707963267948966_3,LocalEnergy_2.356194490192345_1,LocalEnergy_2.356194490192345_2,LocalEnergy_2.356194490192345_3,MeanAmplitude_0_1,MeanAmplitude_0_2,MeanAmplitude_0_3,MeanAmplitude_0.7853981633974483_1,MeanAmplitude_0.7853981633974483_2,MeanAmplitude_0.7853981633974483_3,MeanAmplitude_1.5707963267948966_1,MeanAmplitude_1.5707963267948966_2,MeanAmplitude_1.5707963267948966_3,MeanAmplitude_2.356194490192345_1,MeanAmplitude_2.356194490192345_2,MeanAmplitude_2.356194490192345_3,class
1_0_0.png,16384,0,1851940,2109153,2260265,33718,16384,160,1826974,2109476,2245802,35672,4177920,0,2569766,2709039,1391477,4174198,4177920,16,2569548,2709032,1391410,4174576,bad
1_0_1.png,16384,5,1818540,1940783,2183236,32732,16384,326,1799580,1945798,2181996,34028,4177920,3,2502838,2638659,1355290,4173514,4177920,30,2502514,2638518,1355402,4173504,bad
1_0_2.png,16384,0,1829028,2036703,2211218,18582,16384,0,1819019,2042245,2206013,18053,4177920,0,2550190,2688473,1380928,4177664,4177920,0,2549855,2688369,1380837,4177547,bad
1_1_0.png,16384,0,1834185,1936121,2154406,39592,16384,0,1830345,1908141,2150400,39655,4177920,0,2494443,2629725,1350658,4172448,4177920,0,2494373,2629505,1350568,4172209,bad
1_1_1.png,16384,0,1851989,1811772,2051317,24373,16384,0,1832662,1812574,2067798,22708,4177920,0,2458903,2592226,1331391,4176339,4177920,0,2458624,2592264,1331472,4176002,bad
1_1_2.png,16384,0,1829875,1999271,2181232,19283,16384,0,1836722,1986927,2177470,19256,4177920,0,2524607,2661577,1367062,4177365,4177920,0,2524056,2661555,1367150,4177510,bad
10_0_0.png,16384,0,1833048,1929667,2147029,21697,16384,0,1840223,1927091,2136417,23435,4177920,0,2499436,2635155,1353607,4177361,4177920,0,2498933,2635181,1353611,4176993,bad
10_0_1.png,16384,0,1773238,1815039,1977353,60891,16384,0,1757931,1825671,1974645,59793,4177920,0,2375252,2504121,1286237,4171749,4177920,0,2375359,2504001,1286099,4171815,bad
10_0_2.png,16384,0,1737143,1829443,2063652,61706,16384,0,1731822,1837627,2058263,63885,4177920,0,2383111,2512415,1290460,4171780,4177920,0,2383144,2512501,1290541,4171179,bad
100_0_0.png,16384,0,2006957,1958482,2118901,1926202,16384,0,1975060,1975418,2123584,1917115,4177920,0,1467443,1546942,794637,2827378,4177920,0,1467376,1546944,794572,2827341,bad
100_0_1.png,16384,149,2018506,1906823,2007787,1995776,16384,439,2003226,1914592,2007678,1977652,4177920,21,1466650,1546151,794229,2818016,4177920,103,1466750,1546268,794158,2818130,bad
101_0_0.png,16384,189,1824600,1688261,1855995,1694494,16384,2679,1780883,1679012,1866668,1701170,4177920,21,1759194,1854637,952525,3331470,4177920,743,1759393,1854752,952624,3332224,bad
101_0_1.png,16384,0,1911296,1847247,1963984,1859158,16384,1307,1885808,1835769,1971053,1855079,4177920,0,1616810,1704439,875698,3093590,4177920,1099,1615020,1704251,875475,3093655,bad
101_1_0.png,16384,38,1938915,1894153,2029032,1880752,16384,450,1912008,1895889,2035133,1878116,4177920,8,1571783,1657121,851190,3028602,4177920,58,1571980,1657213,851253,3028698,medium
101_1_1.png,16384,190,2011936,1925831,2041351,1954092,16384,410,1998944,1920617,2055368,1948028,4177920,34,1468700,1547883,795131,2818884,4177920,56,1467680,1547999,795144,2818668,bad
102_0_0.png,16384,20,2007450,1926305,1985486,1924883,16384,14139,2009779,1913246,1989525,1929161,4177920,6,1462020,1541991,791576,2818003,4177920,6693,1468095,1541864,791543,2817981,bad
102_0_1.png,16384,65,2056418,2098678,2153096,1827179,16384,861,2018333,2112735,2164877,1832475,4177920,9,1372088,1446660,743122,2641651,4177920,109,1372123,1446655,743089,2641519,bad
102_1_0.png,16384,0,1980970,1930683,2106026,1929779,16384,0,1932865,1932008,2091054,1931012,4177920,0,1471696,1551543,796906,2835621,4177920,0,1472527,1551536,796794,2835692,bad
102_1_1.png,16384,486,2036228,2015074,2088512,1883414,16384,1083,2012673,2026493,2078688,1872002,4177920,74,1422672,1499994,770456,2728594,4177920,171,1423087,1500047,770430,2728646,bad
10293_0_0.png,707415,439,1849176,1862360,1881326,1645416,696575,16025,1865319,1837762,1862010,1624975,3706993,97,840448,886026,454840,1611060,3706005,5235,843647,886710,455310,1612243,medium
10293_0_1.png,402264,1528,1887581,1919046,1997129,1596223,408825,24134,1875448,1925505,2002822,1578462,3880450,298,960991,1013748,520245,1852719,3880333,12816,967132,1013773,520250,1852684,medium
10293_0_2.png,313576,2830,1906286,1941459,1994730,1625385,310949,17953,1919361,1937282,2009278,1622485,3955640,436,1003082,1057947,543010,1933401,3955321,10537,1008491,1057614,542688,1933081,medium
10293_0_3.png,451555,1395,1835578,1826250,1940076,1562669,450988,22779,1860760,1834977,1942989,1576572,3723201,193,851896,898672,461032,1642475,3723000,11677,858956,898673,460987,1642406,medium
10293_1_0.png,53086,2871,1807095,1830659,1958033,1487354,50610,2858,1841900,1801185,1944138,1475907,4171844,417,1012435,1067435,548341,1950930,4172030,362,1011824,1067443,548486,1950989,medium
10293_1_1.png,28827,4846,1925646,1955076,2098634,1492820,27865,7346,1926016,1972828,2118351,1487016,4175569,716,1252978,1320884,678570,2357028,4175575,1120,1252134,1320798,678479,2357306,medium
10293_1_2.png,20728,3790,1972816,1972391,2074119,1633975,21379,8575,1958754,1977432,2074482,1653525,4177236,464,1222504,1288841,662127,2348193,4177231,1285,1222366,1288916,662076,2348239,medium
10293_1_3.png,30128,3308,1890665,1927132,2054748,1448764,30316,4996,1902140,1907361,2046420,1439450,4175482,394,1141301,1203058,618186,2183006,4175486,796,1139618,1203027,618050,2182724,medium
103_0_0.png,16384,4,1864328,1660532,1827319,1890347,16384,6436,1850291,1650137,1823127,1903107,4177920,2,1650400,1739992,893523,3175641,4177920,2106,1652203,1739731,893373,3175255,bad
103_0_1.png,16384,0,1937822,1823813,1926715,1821213,16384,743,1901478,1818719,1927536,1821729,4177920,0,1661938,1752115,899841,3145229,4177920,1077,1662414,1752029,899810,3144959,bad
103_1_0.png,16384,8,2001570,1938858,2072955,1939806,16384,541,1982801,1948672,2084020,1935761,4177920,4,1477444,1557606,800017,2846760,4177920,73,1477659,1557700,800144,2846909,bad
103_1_1.png,16384,91,2056903,2056711,2133173,1886193,16384,606,2045002,2053676,2106635,1906311,4177920,21,1385063,1460465,750171,2654899,4177920,74,1385260,1460274,749999,2654699,bad
104_0_0.png,16384,0,1879181,1850515,2058863,1880299,16384,10383,1899160,1855442,2079259,1857132,4177920,0,1577743,1663547,853855,3033647,4177920,1681,1584466,1663516,853835,3033818,bad
104_0_1.png,16384,0,1965633,1854663,2028931,1915406,16384,4178,1983472,1873289,2015945,1892018,4177920,0,1544705,1628569,836263,2954974,4177920,1152,1547604,1628613,836247,2954518,bad
104_1_0.png,16384,512,2017574,1915687,2018996,1934032,16384,509,1987201,1926741,2041163,1931576,4177920,68,1501760,1582157,812552,2891580,4177920,153,1501053,1582205,812635,2891698,bad
104_1_1.png,16384,0,2137475,1971529,1906535,1989822,16384,1104,2057333,1956014,1920758,2007687,4177920,0,1442963,1521031,781289,2763084,4177920,226,1442771,1520924,781196,2763289,bad
105_0_0.png,16384,61,1609917,1377358,1625847,1872805,16384,25693,1603098,1392533,1622588,1849843,4177920,11,1824057,1923612,987389,3510335,4177920,8467,1832826,1923447,987212,3509955,medium
105_0_1.png,16384,93,1704114,1402802,1568168,1918555,16384,5298,1673537,1376552,1547818,1902692,4177920,19,1806862,1904940,978322,3474735,4177920,1176,1807977,1904990,978394,3475034,medium
105_1_0.png,16384,355,1863321,1784071,1954917,1830295,16384,1599,1838262,1782090,1960774,1845904,4177920,41,1623045,1711531,879061,3127507,4177920,301,1624636,1711566,879122,3127550,bad
105_1_1.png,16384,328,1887791,1899510,1991740,1789677,16384,735,1906106,1905085,1996330,1799641,4177920,48,1628739,1717084,881984,3125969,4177920,195,1628912,1717227,882056,3126049,bad
10596_0_0.png,1421357,707,2001235,2013970,1913140,1881709,1411945,16147,1983794,2023759,1917815,1880125,3517893,169,668669,705088,361630,1284785,3516557,9413,674788,705637,362025,1285425,bad
10596_0_1.png,760355,2660,1952142,1956907,1854358,1909257,770486,1901,1977637,1963816,1862329,1888020,3915443,384,752928,793823,407782,1450743,3914850,315,752593,793762,407745,1450710,medium
10596_0_2.png,539752,6748,1905547,1867378,1851180,1856931,533904,4295,1899137,1867601,1865741,1873994,4040314,940,814451,858652,441106,1569291,4040190,609,813475,858601,441161,1569330,medium
10596_0_3.png,547674,4005,1884588,1856804,1891483,1726558,552260,10602,1858190,1855742,1876826,1768406,4015232,607,826088,870936,447251,1591780,4015018,1616,827044,870940,447272,1591788,medium
10596_1_0.png,498898,1123,1931102,1882737,1860362,1821830,489447,1638,1925935,1889840,1865116,1822036,4061052,171,827986,872739,448392,1595154,4060647,220,827617,872772,448402,1595170,medium
10596_1_1.png,204626,3438,1811072,1749226,1822023,1610819,201353,3776,1830372,1743693,1822151,1640459,4133506,486,1020900,1076326,552787,1915607,4133669,560,1021442,1076337,552867,1914765,medium
10596_1_2.png,152862,3832,1744825,1729966,1862807,1512893,153389,6641,1804439,1721004,1853918,1521583,4152940,590,950641,1002400,514931,1822383,4153151,915,951693,1002452,514916,1822637,medium
10596_1_3.png,295845,2552,1783723,1758269,1851413,1639617,301361,5823,1826910,1742262,1848164,1636070,4104763,402,902345,951339,488741,1731787,4104869,831,902108,951298,488740,1731872,medium
106_0_0.png,101867,10817,1649114,1556692,1787891,1770416,98604,28919,1596669,1569064,1776547,1775754,4044063,1881,1582532,1668054,857341,3046282,4042412,6433,1586839,1667926,856975,3046464,bad
106_0_1.png,16384,19582,1637176,1655685,1886591,1496678,16384,22089,1652869,1652646,1874590,1488668,4177920,4408,1777066,1872655,962809,3363044,4177920,4385,1777449,1872448,962548,3362578,medium
10patch_19_0_0.png,16384,2369,1764895,1786142,1893014,88698,16384,29460,1690286,1783850,1897590,76074,4177920,747,2916695,3072964,1580590,4150206,4177920,19560,2903848,3073042,1580528,4158958,bad
10patch_19_0_1.png,16384,3562,1878772,1800720,1883540,110754,16384,32022,1765960,1783331,1901016,86910,4177920,606,2781500,2930450,1507864,4147560,4177920,30736,2743748,2930099,1507590,4157510,bad
10patch_19_0_2.png,25183,15582,1837056,1780649,1817567,184497,25214,35599,1792090,1789257,1819318,163352,4173797,4986,2770298,2918769,1500309,4079293,4173928,14123,2757774,2918913,1500416,4089940,bad
10patch_19_0_3.png,26541,13867,1808999,1768334,1854733,177902,25734,29047,1776037,1783060,1872754,151719,4173205,3081,2784873,2934862,1508759,4077916,4173084,7063,2784401,2934782,1507872,4098053,bad
10patch_19_0_4.png,18943,5235,1769133,1813879,1847095,119774,18661,21061,1777357,1792065,1866037,88621,4176225,1467,2879249,3034855,1559057,4134296,4176293,5457,2878087,3035579,1559755,4141429,bad
11_0_0.png,16384,0,1825245,1969701,2168542,35681,16384,664,1840136,1969258,2155783,35268,4177920,0,2522743,2659341,1366162,4174773,4177920,56,2519688,2659474,1366261,4174906,bad
11_0_1.png,16384,0,1680743,1822364,2003743,123866,16384,0,1701365,1821100,2002551,132305,4177920,0,2340047,2466616,1267341,4159694,4177920,0,2335623,2466526,1267277,4159455,bad
11_0_2.png,16384,0,1718743,1826592,2002623,113947,16384,0,1784204,1802601,2011881,111924,4177920,0,2379101,2507614,1288409,4158581,4177920,0,2374026,2507767,1288547,4158444,bad
11_1_0.png,16384,0,1814274,1927104,2136934,58044,16384,1148,1841297,1919590,2145371,61814,4177920,0,2507116,2642938,1357624,4169990,4177920,146,2506797,2642928,1357499,4169676,bad
11_1_1.png,16384,0,1580746,1729752,1970900,239126,16384,0,1626637,1735976,1999499,237705,4177920,0,2310452,2435824,1251248,4142474,4177920,0,2310167,2435872,1251197,4141699,bad
11_1_2.png,16384,0,1802675,1834423,2025267,40480,16384,16,1775355,1848406,2029423,45042,4177920,0,2411035,2541679,1305707,4173326,4177920,4,2409643,2541798,1305727,4173258,bad
11patch_20_0_0.png,16783,7951,1853994,1718181,1814959,109953,16517,40184,1754255,1682696,1819058,109265,4177717,1949,2854840,3006279,1547169,4142471,4177731,22004,2838175,3006344,1547116,4143891,medium
11patch_20_0_1.png,16384,25744,1819960,1802055,1880634,227222,16384,56638,1757276,1792515,1888344,218001,4177920,5830,2658850,2802211,1441214,4093026,4177920,29588,2641142,2802373,1441012,4104261,bad
11patch_20_0_2.png,20611,42741,1794028,1788465,1833247,317340,20828,75351,1789058,1786430,1863971,308255,4175561,12485,2586670,2726331,1401789,4024794,4175644,31437,2595646,2727338,1401283,4042191,bad
11patch_20_0_3.png,17831,39066,1780618,1766524,1807018,283185,18201,79487,1754447,1774194,1828700,285527,4177297,10688,2698786,2841176,1461948,4043159,4177419,27339,2696151,2841196,1461314,4052253,bad
11patch_20_0_4.png,16384,19398,1806206,1778482,1825435,198593,16384,68702,1791230,1753423,1822709,186397,4177920,4740,2775536,2924732,1503457,4102475,4177920,24730,2772662,2923769,1503709,4108809,bad
12.jpg_0_0.png,18749,3617,2044264,2036439,1839254,1374526,19564,2186,2002016,2039519,1827714,1379550,4177415,749,1961670,2067467,1061938,3162260,4177418,294,1960522,2067123,1061704,3165318,bad
12.jpg_0_1.png,16384,0,1879792,1924904,2139989,1625177,16384,4275,1919860,1898191,2129380,1636021,4177920,0,1700606,1792808,920681,3092281,4177920,2203,1702354,1793201,920986,3094155,bad
12.jpg_0_2.png,16677,1,1901721,1931008,2148320,1671701,16702,15256,1899619,1912829,2122864,1691772,4177895,1,1570677,1656656,850650,2958365,4177892,4568,1575829,1656245,850334,2957424,bad
12.jpg_1_0.png,16395,7876,1912013,1909289,2081515,1791992,16392,253,1918774,1908591,2072803,1808062,4177917,8266,1556945,1638817,841459,2992760,4177918,33,1553162,1638587,841323,2992440,bad
12.jpg_1_1.png,16384,0,1888122,1911811,2176962,1659624,16384,0,1902307,1917901,2166834,1665413,4177920,0,1623398,1711371,879172,3104896,4177920,0,1622083,1711441,879270,3104517,bad
12.jpg_1_2.png,16384,1,1924532,1897266,2101419,1800631,16384,0,1933073,1890867,2106497,1793046,4177920,1,1608120,1695472,871121,3079581,4177920,0,1606077,1695313,871053,3079404,bad
12_0_0.png,16384,0,1952624,2065402,2191229,16669,16384,0,1949314,2074492,2192005,17126,4177920,0,2642802,2786258,1431317,4177873,4177920,0,2641324,2786130,1431223,4177834,bad
12_0_1.png,16384,0,1788912,1971311,2180728,29307,16384,0,1783337,1975206,2171826,29569,4177920,0,2492834,2627943,1349794,4176141,4177920,0,2492305,2627896,1349812,4176127,bad
12_0_2.png,16384,0,1801946,2010162,2199170,27410,16384,0,1806006,1968947,2207764,31514,4177920,0,2513256,2649472,1360984,4176316,4177920,0,2512594,2649473,1360954,4175756,bad
12patch_21_0_0.png,16384,8516,1956480,1854391,1897992,162839,16384,49523,1893187,1842050,1893904,154239,4177920,1886,2711382,2860559,1467782,4118115,4177920,50739,2738209,2860676,1467848,4121891,good
12patch_21_0_1.png,16384,16397,1918601,1867996,1879407,186760,16384,30473,1871887,1865956,1892331,174062,4177920,3885,2663583,2806988,1443131,4117562,4177920,7865,2651831,2806814,1443111,4121828,bad
12patch_21_0_2.png,16384,27278,1857855,1813228,1884656,229258,16384,30082,1813827,1833813,1880462,213763,4177920,7790,2659835,2800872,1439852,4087170,4177920,7942,2649647,2800687,1439948,4095607,bad
12patch_21_0_3.png,18234,20880,1868950,1767983,1848908,213225,18559,33131,1803548,1776017,1851758,205034,4177238,6190,2716956,2861871,1471720,4081129,4177389,9495,2708390,2861831,1471354,4091130,bad
12patch_21_0_4.png,16384,5999,1885279,1689850,1826406,116444,16384,20738,1828593,1681400,1832591,104067,4177920,1521,2842695,2996880,1539798,4147608,4177920,5026,2839597,2995892,1539795,4151665,bad
13.jpg_0_0.png,46976,4322,1942978,2011916,1955209,1449045,48319,13468,1943183,2006871,1946083,1453998,4169906,5894,1648786,1735974,891467,2784149,4169857,3152,1649575,1735641,891133,2787596,bad
13.jpg_0_1.png,16384,0,1928906,1914059,2047998,1696016,16384,7668,1940450,1921163,2051412,1695074,4177920,0,1563006,1647805,846452,2838956,4177920,1490,1564026,1647869,846492,2840046,bad
13.jpg_0_2.png,16450,0,1927673,1979218,2095889,1685186,16440,13224,1964662,1965499,2087348,1705226,4177912,0,1356687,1430630,734291,2565422,4177912,5694,1364454,1430975,734534,2565974,bad
13.jpg_1_0.png,33200,3573,1961053,1936762,2082519,1848174,34882,5660,1937993,1937968,2081296,1839125,4172954,1111,1439065,1516826,778769,2746050,4173086,4980,1441409,1516676,778696,2744643,bad
13.jpg_1_1.png,16384,145,1907828,1914726,2116116,1880609,16384,0,1929357,1882740,2080278,1869928,4177920,33,1549286,1633364,839048,2966245,4177920,0,1549835,1633384,838968,2966054,bad
13.jpg_1_2.png,16384,346,1969455,1884893,2082421,1891319,16384,49,1942885,1909172,2078525,1879448,4177920,44,1523245,1605813,824893,2915389,4177920,7,1522289,1605804,824865,2915084,bad
13_0_0.png,16384,0,1782614,1857233,1992274,38677,16384,0,1782541,1855888,2006827,41039,4177920,0,2376328,2504899,1287158,4174305,4177920,0,2370837,2505022,1287205,4173843,bad
13_0_1.png,16384,0,971153,1713561,2096251,338896,16384,3988,1066432,1721851,2101424,348161,4177920,0,2188647,2307379,1185077,4131732,4177920,614,2190738,2307225,1184870,4130313,bad
13_0_2.png,16384,0,919938,1755022,2086646,385521,16384,0,973610,1757086,2067229,386030,4177920,0,2183890,2302478,1182812,4117475,4177920,0,2183916,2302506,1182643,4116876,bad
13patch_22_0_2.png,17187,28191,1761246,1806501,1954333,434006,16765,61685,1727316,1822372,1947021,439016,4177731,7139,2411910,2540009,1305701,3992990,4177761,19385,2404518,2539748,1305243,4001042,bad
13patch_22_0_3.png,18705,20240,1780867,1883704,2028073,348115,19424,43908,1795052,1886980,2029391,348372,4175697,4274,2420953,2551732,1311025,4037891,4175740,12466,2422060,2551802,1311289,4043018,medium
13patch_22_0_4.png,28846,24133,1832509,1850673,1940329,369041,28683,90900,1797174,1829767,1928689,353933,4170504,5997,2472683,2605703,1337837,4004417,4171007,59440,2478024,2605989,1338123,4005521,bad
14.jpg_0_0.png,32738,5166,1876946,1910773,2111186,1715543,33697,16172,1913182,1901967,2105925,1714907,4174964,9766,1487494,1566861,804072,2793927,4174793,5406,1491934,1566933,804205,2797259,medium
14.jpg_0_1.png,16384,0,1900207,1922296,2112972,1703982,16384,16129,1909822,1903537,2118929,1711290,4177920,0,1571613,1657792,850844,2993046,4177920,8381,1580290,1657653,850747,2992722,bad
14.jpg_0_2.png,16392,0,1914682,1919605,1971570,1679124,16384,13375,1924665,1918594,1998997,1677942,4177918,0,1648854,1738385,892844,3032792,4177920,2885,1651931,1738284,892811,3031512,bad
14.jpg_1_1.png,16384,0,1895961,1902599,2019297,1795886,16384,34,1901567,1912062,2011748,1800827,4177920,0,1671619,1762327,905197,3203084,4177920,8,1671643,1762184,905144,3203123,medium
14.jpg_1_2.png,16384,67,1914695,1888071,1723455,1928952,16384,178,1883629,1860017,1751611,1926688,4177920,15,1733615,1827507,938773,3319636,4177920,16,1733433,1827577,938717,3319484,medium
14_0_0.png,16384,446,1549715,1779820,2045422,234691,16384,4611,1585652,1791178,2025586,235474,4177920,36,2280603,2404800,1235004,4113597,4177920,779,2283924,2404844,1235022,4113884,bad
14_0_1.png,16384,0,810956,1596030,1922579,649025,16384,17565,1009837,1591582,1942659,647010,4177920,0,2126006,2241738,1150899,4059537,4177920,3677,2131319,2241682,1150925,4058806,bad
14_0_2.png,16384,0,860635,1582362,1918338,649277,16384,1352,1047404,1583784,1955114,649847,4177920,0,2136081,2251790,1156632,4065999,4177920,366,2135930,2251906,1156694,4065833,bad
14_1_0.png,16384,0,1817080,1902047,2128176,25893,16384,0,1786018,1892751,2129186,26882,4177920,0,2428986,2561309,1315674,4176249,4177920,0,2429268,2561259,1315552,4176224,bad
1413_0_0.png,636831,3517,1862447,1975030,2105954,918947,643793,11883,1846124,1984735,2122190,933539,3635137,497,1638279,1726752,887110,2756241,3633877,1951,1638448,1726305,886632,2758835,bad
1413_0_1.png,725101,127,1876734,1853110,1938687,1312871,714961,12866,1893939,1846736,1928859,1315171,3761521,29,1253394,1321496,678769,2233119,3759847,2076,1254257,1321518,678879,2233649,bad
1413_0_2.png,600681,1156,1884529,1855389,1937467,1564174,609861,14086,1889333,1858790,1924282,1551198,3757215,336,1058005,1115315,572817,1919306,3755361,2530,1058999,1115166,572866,1920442,bad
1413_0_3.png,346144,686,1938593,1909173,1875196,1524638,347397,15467,1927819,1896313,1867696,1515531,4026580,128,1158393,1221351,627398,2043500,4025359,3091,1159727,1221305,627318,2043099,bad
1413_1_0.png,834057,4128,1969456,2028571,1975791,1616651,828121,775,1967737,2034408,1984267,1625726,3792183,578,1032556,1088709,559111,1838637,3792223,111,1033179,1088580,559055,1838564,bad
1413_1_1.png,175884,2929,1828623,1708319,1816676,1788777,174578,614,1795060,1708259,1786951,1788375,4143092,401,925749,975973,501236,1766413,4142880,106,925890,975967,501337,1767379,medium
1413_1_2.png,80219,2411,1820007,1706636,1838904,1564681,78626,773,1785367,1659972,1821940,1574398,4167721,363,935959,986678,506820,1803375,4167712,111,935631,986752,506896,1803398,medium
1413_1_3.png,57667,2725,1754903,1673300,1869534,1440949,56556,4941,1762773,1652137,1830826,1438979,4170141,359,1015689,1070822,550164,1933301,4170238,991,1016227,1070755,550054,1933975,medium
14patch_23_0_0.png,17360,13963,1857950,1786319,1887698,238129,17301,41550,1806919,1815151,1887307,226558,4177654,3525,2666700,2810599,1444472,4067825,4177735,10508,2665039,2810825,1444531,4071626,medium
14patch_23_0_1.png,16384,16859,1807623,1815769,1901503,319698,16384,57006,1761717,1807482,1893321,303698,4177920,5089,2544929,2681263,1379217,4053640,4177920,15880,2536587,2680568,1379329,4055572,bad
14patch_23_0_2.png,17443,30349,1804166,1791732,1884759,324504,17306,82163,1757895,1788377,1873705,308852,4177603,8105,2556588,2692754,1384859,4050210,4177670,24169,2551907,2692411,1384509,4057850,bad
